seed,dataset,scenario,window_size,alphabet_size,unseen_ratio_target,unseen_count,accuracy,precision,recall,f1_score
42,SKAB,controlled_unseen,4,3,0.1,0,0.5106761565836299,0.2518518518518518,0.2922636103151863,0.27055702917771884
123,SKAB,controlled_unseen,4,3,0.1,0,0.5391459074733096,0.28607594936708863,0.3237822349570201,0.30376344086021506
2026,SKAB,controlled_unseen,4,3,0.1,0,0.5258007117437722,0.2766990291262136,0.32664756446991405,0.2996057818659658
7,SKAB,controlled_unseen,4,3,0.1,0,0.5409252669039146,0.29782082324455206,0.3524355300859599,0.3228346456692913
999,SKAB,controlled_unseen,4,3,0.1,0,0.4902135231316726,0.22946859903381642,0.2722063037249284,0.2490170380078637
